Age,Special,Potential,Wage,General,GK,Position,Class
26,1239,83,23.0,31.448275862068964,77.2,GK,1
29,1223,81,17.0,30.655172413793103,78.8,GK,1
25,1338,85,39.0,34.689655172413794,78.8,GK,1
27,1291,83,16.0,33.0,79.0,GK,1
31,1361,80,48.0,35.241379310344826,80.2,GK,1
27,1191,81,61.0,29.586206896551722,79.0,GK,1
29,1137,80,61.0,27.448275862068964,77.2,GK,1
28,1223,80,45.0,30.137931034482758,78.8,GK,1
31,1251,80,91.0,31.689655172413794,78.8,GK,1
32,1208,80,1.0,30.413793103448278,78.6,GK,1
36,1188,80,17.0,29.75862068965517,77.4,GK,1
34,1199,80,51.0,30.275862068965516,77.2,GK,1
34,1187,80,26.0,29.17241379310345,80.2,GK,1
39,1178,80,10.0,29.448275862068964,78.0,GK,1
26,1153,79,24.0,28.655172413793103,77.2,GK,1
26,1210,80,21.0,30.275862068965516,78.2,GK,1
29,1243,80,21.0,31.103448275862068,78.4,GK,1
24,1204,83,13.0,30.06896551724138,78.4,GK,1
25,1228,83,71.0,30.896551724137932,78.4,GK,1
32,1228,79,23.0,30.379310344827587,78.4,GK,1
26,1341,81,41.0,34.724137931034484,79.6,GK,1
30,1183,79,41.0,29.0,76.8,GK,1
29,1163,80,32.0,29.06896551724138,76.2,GK,1
32,1207,79,48.0,30.310344827586206,77.6,GK,1
30,1321,79,47.0,34.06896551724138,77.8,GK,1
31,1279,79,105.0,32.6551724137931,78.4,GK,1
29,1172,79,80.0,28.93103448275862,78.6,GK,1
30,1254,79,76.0,32.37931034482759,75.2,GK,1
31,1234,79,52.0,31.275862068965516,77.6,GK,1
32,1266,79,45.0,32.310344827586206,78.2,GK,1
31,1260,79,45.0,32.206896551724135,76.8,GK,1
33,1155,79,25.0,28.24137931034483,77.0,GK,1
19,1200,90,12.0,30.20689655172414,76.6,GK,1
32,1143,78,15.0,27.689655172413794,74.6,GK,1
25,1245,80,18.0,31.96551724137931,75.2,GK,1
29,1275,80,39.0,32.48275862068966,78.4,GK,1
26,1241,81,22.0,31.655172413793103,76.4,GK,1
24,1216,82,1.0,30.482758620689655,78.0,GK,1
27,1366,80,10.0,36.48275862068966,75.2,GK,1
25,1198,82,12.0,29.75862068965517,76.2,GK,1
24,1150,84,21.0,28.620689655172413,75.8,GK,1
27,1127,80,24.0,27.724137931034484,77.0,GK,1
26,1277,82,6.0,32.58620689655172,75.2,GK,1
30,1151,78,32.0,28.310344827586206,77.6,GK,1
35,1446,78,50.0,38.51724137931034,78.6,GK,1
31,1200,78,19.0,30.06896551724138,77.2,GK,1
32,1199,78,1.0,30.310344827586206,77.0,GK,1
32,1334,77,38.0,35.275862068965516,75.2,GK,1
37,1249,77,25.0,32.275862068965516,74.4,GK,1
26,1117,78,19.0,26.689655172413794,75.0,GK,1
34,1187,77,1.0,29.379310344827587,77.4,GK,1
23,1191,83,15.0,29.75862068965517,76.6,GK,1
27,1164,80,22.0,29.0,76.0,GK,1
30,1289,77,24.0,33.241379310344826,75.0,GK,1
34,1191,77,44.0,30.655172413793103,73.4,GK,1
31,1112,77,15.0,27.310344827586206,76.2,GK,1
29,1230,78,21.0,31.517241379310345,75.6,GK,1
32,1284,77,21.0,33.13793103448276,76.0,GK,1
30,1306,77,43.0,34.10344827586207,76.2,GK,1
28,1230,78,37.0,31.551724137931036,75.2,GK,1
28,1146,78,19.0,28.517241379310345,75.2,GK,1
35,1234,77,9.0,31.93103448275862,74.4,GK,1
29,1317,77,17.0,34.06896551724138,76.6,GK,1
35,1211,77,6.0,30.724137931034484,75.2,GK,1
25,1208,81,23.0,30.620689655172413,76.4,GK,1
32,1204,77,13.0,30.413793103448278,75.8,GK,1
34,1279,77,56.0,33.48275862068966,74.2,GK,1
25,1193,82,1.0,29.275862068965516,75.2,GK,1
28,1156,78,11.0,28.586206896551722,75.0,GK,1
31,1209,76,17.0,30.75862068965517,75.8,GK,1
34,1243,76,21.0,31.724137931034484,75.8,GK,1
29,1095,76,34.0,26.96551724137931,73.8,GK,1
30,1193,76,24.0,30.137931034482758,74.4,GK,1
24,1180,83,7.0,29.586206896551722,73.6,GK,1
30,1215,76,1.0,31.482758620689655,73.2,GK,1
36,1211,76,39.0,30.93103448275862,74.2,GK,1
40,1198,76,2.0,30.482758620689655,74.8,GK,1
28,1243,77,9.0,32.06896551724138,73.8,GK,1
29,1200,76,18.0,30.310344827586206,75.6,GK,1
33,1280,76,3.0,33.06896551724138,75.6,GK,1
35,1277,76,20.0,33.06896551724138,75.2,GK,1
36,1202,76,12.0,30.79310344827586,75.4,GK,1
28,1205,78,8.0,30.79310344827586,73.8,GK,1
33,1187,76,22.0,29.82758620689655,75.6,GK,1
31,1299,76,22.0,33.96551724137931,74.0,GK,1
25,1059,79,21.0,25.448275862068964,75.0,GK,1
22,1192,83,14.0,30.06896551724138,75.4,GK,1
26,1114,76,12.0,27.82758620689655,74.6,GK,1
30,1316,76,17.0,34.44827586206897,76.0,GK,1
27,1325,78,23.0,34.6551724137931,75.2,GK,1
28,1158,76,41.0,28.482758620689655,75.4,GK,1
27,1149,79,23.0,29.03448275862069,73.0,GK,1
26,1182,79,14.0,29.96551724137931,74.6,GK,1
32,1409,76,16.0,37.793103448275865,76.4,GK,1
19,1078,88,24.0,26.103448275862068,75.4,GK,1
29,1184,76,21.0,29.93103448275862,72.8,GK,1
24,1214,82,9.0,30.96551724137931,74.6,GK,1
29,1074,77,44.0,26.310344827586206,74.8,GK,1
34,1172,75,1.0,29.79310344827586,74.2,GK,1
35,1289,75,11.0,33.758620689655174,74.0,GK,1
34,1186,75,20.0,30.06896551724138,74.6,GK,1
27,1148,78,16.0,28.482758620689655,73.0,GK,1
23,1171,84,5.0,29.137931034482758,74.4,GK,1
35,1157,75,19.0,29.517241379310345,73.0,GK,1
27,1150,78,36.0,29.310344827586206,72.6,GK,1
34,1208,75,39.0,30.275862068965516,74.6,GK,1
36,1076,75,14.0,26.689655172413794,72.4,GK,1
25,1091,80,21.0,26.20689655172414,72.4,GK,1
32,1131,75,22.0,27.620689655172413,73.6,GK,1
34,1135,75,7.0,28.551724137931036,73.4,GK,1
35,1093,75,11.0,27.06896551724138,73.4,GK,1
37,1120,75,13.0,27.724137931034484,74.4,GK,1
28,1133,76,17.0,28.03448275862069,74.8,GK,1
21,1161,89,24.0,29.689655172413794,73.4,GK,1
31,1187,75,10.0,29.689655172413794,73.4,GK,1
29,1246,76,5.0,31.448275862068964,73.2,GK,1
31,1154,75,34.0,28.586206896551722,76.0,GK,1
28,1221,75,17.0,31.20689655172414,74.0,GK,1
36,1171,75,17.0,29.620689655172413,73.6,GK,1
36,1258,75,22.0,33.13793103448276,73.0,GK,1
27,1148,78,6.0,28.862068965517242,73.2,GK,1
28,1188,76,1.0,30.551724137931036,72.2,GK,1
23,1043,80,7.0,24.724137931034484,72.6,GK,1
33,1284,75,16.0,33.51724137931034,74.0,GK,1
37,1165,75,10.0,29.517241379310345,73.6,GK,1
22,1207,83,18.0,30.724137931034484,74.2,GK,1
34,1169,75,36.0,29.517241379310345,73.2,GK,1
28,1272,77,21.0,32.93103448275862,74.6,GK,1
30,1325,75,4.0,34.93103448275862,74.0,GK,1
27,1213,78,11.0,31.448275862068964,72.2,GK,1
24,1238,80,25.0,31.0,73.8,GK,1
34,1113,75,20.0,28.310344827586206,71.8,GK,1
24,1262,78,18.0,32.58620689655172,74.8,GK,1
25,1204,80,11.0,29.79310344827586,75.0,GK,1
35,1114,75,5.0,27.517241379310345,72.8,GK,1
26,1183,78,12.0,29.586206896551722,73.6,GK,1
32,1337,75,10.0,35.58620689655172,73.8,GK,1
25,1200,80,23.0,29.724137931034484,74.0,GK,1
37,1166,75,12.0,29.82758620689655,73.6,GK,1
25,1217,77,22.0,31.20689655172414,72.4,GK,1
34,1105,74,20.0,27.551724137931036,72.2,GK,1
32,1207,74,6.0,30.724137931034484,74.0,GK,1
36,1214,74,23.0,30.96551724137931,73.2,GK,1
27,1196,77,1.0,30.689655172413794,73.6,GK,1
35,1212,74,34.0,31.275862068965516,73.2,GK,1
34,1162,74,11.0,29.724137931034484,72.0,GK,1
33,1160,74,12.0,29.724137931034484,72.6,GK,1
30,1159,74,8.0,29.379310344827587,72.2,GK,1
33,1267,74,13.0,32.96551724137931,73.0,GK,1
30,1151,74,17.0,28.310344827586206,74.2,GK,1
26,1183,76,11.0,30.482758620689655,72.2,GK,1
31,1147,74,8.0,29.379310344827587,71.8,GK,1
23,1190,79,7.0,29.448275862068964,72.2,GK,1
34,1185,74,6.0,30.06896551724138,73.2,GK,1
29,1194,76,11.0,31.0,72.2,GK,1
38,1159,74,24.0,29.75862068965517,71.8,GK,1
35,1195,74,20.0,30.551724137931036,72.0,GK,1
26,1365,78,46.0,35.827586206896555,76.2,GK,1
28,1202,77,23.0,30.96551724137931,73.2,GK,1
22,1177,81,11.0,29.103448275862068,74.0,GK,1
25,1152,78,1.0,29.310344827586206,71.8,GK,1
29,1189,75,11.0,30.344827586206897,72.8,GK,1
24,1109,77,1.0,27.655172413793103,73.4,GK,1
28,1199,74,16.0,30.379310344827587,74.8,GK,1
29,1219,75,9.0,31.551724137931036,73.8,GK,1
30,1123,74,9.0,28.20689655172414,73.4,GK,1
28,1141,75,10.0,29.03448275862069,73.4,GK,1
26,1294,78,7.0,34.275862068965516,71.8,GK,1
26,1047,74,18.0,25.413793103448278,73.6,GK,1
32,1129,74,8.0,28.482758620689655,72.8,GK,1
24,1140,80,14.0,28.93103448275862,73.6,GK,1
25,1138,78,3.0,28.96551724137931,72.6,GK,1
22,1163,82,12.0,29.620689655172413,70.4,GK,1
33,1176,74,9.0,30.103448275862068,72.6,GK,1
26,1119,76,5.0,28.517241379310345,71.0,GK,1
27,1102,77,11.0,27.82758620689655,71.6,GK,1
25,1122,78,13.0,27.0,73.4,GK,1
35,1300,74,39.0,34.13793103448276,74.0,GK,1
30,1243,74,19.0,32.58620689655172,72.6,GK,1
34,1122,74,1.0,27.689655172413794,72.2,GK,1
32,1027,74,34.0,25.344827586206897,72.2,GK,1
26,1120,75,11.0,28.517241379310345,71.8,GK,1
24,1229,77,10.0,31.620689655172413,71.6,GK,1
38,1052,73,10.0,26.0,68.0,GK,1
32,1145,73,7.0,28.82758620689655,72.6,GK,1
30,1117,73,12.0,27.413793103448278,72.8,GK,1
25,1166,77,8.0,29.379310344827587,72.8,GK,1
26,1137,73,10.0,28.551724137931036,72.6,GK,1
30,1099,73,19.0,26.344827586206897,73.2,GK,1
26,1102,73,20.0,27.689655172413794,72.2,GK,1
39,1186,73,4.0,30.310344827586206,72.0,GK,1
27,1191,75,26.0,30.620689655172413,71.2,GK,1
24,1178,78,13.0,30.17241379310345,71.6,GK,1
21,1120,85,30.0,27.689655172413794,74.6,GK,1
31,1122,73,7.0,28.379310344827587,73.4,GK,1
34,1145,73,17.0,29.137931034482758,71.8,GK,1
27,1207,76,10.0,31.344827586206897,72.2,GK,1
30,1245,73,6.0,32.689655172413794,71.8,GK,1
30,1158,74,8.0,29.0,72.8,GK,1
40,1107,73,6.0,27.103448275862068,73.0,GK,1
35,1125,73,30.0,28.24137931034483,73.0,GK,1
30,1182,73,17.0,30.310344827586206,71.2,GK,1
32,1133,73,25.0,27.93103448275862,72.2,GK,1
28,1211,75,28.0,31.344827586206897,72.0,GK,1
33,1225,73,12.0,32.03448275862069,71.8,GK,1
26,1139,76,15.0,28.75862068965517,71.8,GK,1
25,1140,76,32.0,29.06896551724138,70.6,GK,1
34,1209,73,13.0,31.137931034482758,71.8,GK,1
20,1265,83,2.0,32.48275862068966,72.6,GK,1
24,1103,78,27.0,26.93103448275862,71.4,GK,1
33,1226,73,17.0,32.0,72.8,GK,1
37,1220,73,4.0,31.517241379310345,70.6,GK,1
34,1272,73,9.0,33.206896551724135,72.2,GK,1
26,1192,74,11.0,30.551724137931036,72.2,GK,1
26,947,76,12.0,22.482758620689655,70.2,GK,1
33,1165,73,5.0,29.551724137931036,72.2,GK,1
31,1105,73,15.0,26.655172413793103,71.0,GK,1
28,1207,75,28.0,31.620689655172413,70.4,GK,1
29,1145,74,6.0,29.137931034482758,69.0,GK,1
22,1064,82,2.0,25.551724137931036,71.6,GK,1
29,1318,75,4.0,33.89655172413793,73.2,GK,1
30,1112,73,11.0,28.20689655172414,71.0,GK,1
34,1140,73,10.0,28.862068965517242,72.2,GK,1
22,1214,80,8.0,31.24137931034483,71.4,GK,1
31,1095,73,10.0,27.689655172413794,70.2,GK,1
26,1113,77,6.0,27.79310344827586,72.0,GK,1
37,1073,73,6.0,26.551724137931036,71.8,GK,1
37,1246,73,5.0,32.758620689655174,72.2,GK,1
35,1124,73,4.0,28.482758620689655,71.6,GK,1
31,1132,73,10.0,28.06896551724138,70.6,GK,1
26,1067,77,30.0,25.93103448275862,73.4,GK,1
31,1172,73,31.0,29.482758620689655,70.6,GK,1
26,1166,76,11.0,29.482758620689655,73.2,GK,1
27,1159,75,8.0,29.06896551724138,70.4,GK,1
36,1002,73,5.0,23.655172413793103,71.0,GK,1
28,1202,75,6.0,31.310344827586206,71.6,GK,1
22,1002,80,1.0,23.17241379310345,71.0,GK,1
35,918,72,2.0,22.103448275862068,69.2,GK,1
29,1193,73,16.0,29.79310344827586,72.8,GK,1
38,1165,72,4.0,30.379310344827587,69.0,GK,1
31,1073,72,31.0,26.551724137931036,71.2,GK,1
29,1123,72,9.0,28.275862068965516,70.6,GK,1
25,1079,75,12.0,25.862068965517242,70.6,GK,1
31,1109,72,10.0,28.103448275862068,71.2,GK,1
37,1173,72,2.0,30.310344827586206,69.8,GK,1
27,1230,75,12.0,31.896551724137932,71.0,GK,1
20,1104,82,5.0,27.448275862068964,72.0,GK,1
35,1167,72,12.0,28.96551724137931,71.4,GK,1
23,1181,79,6.0,29.655172413793103,71.4,GK,1
28,1101,74,3.0,28.03448275862069,70.6,GK,1
28,1089,74,18.0,27.896551724137932,70.0,GK,1
25,1263,77,40.0,32.93103448275862,72.2,GK,1
30,1057,72,15.0,25.551724137931036,70.4,GK,1
25,1143,75,1.0,29.379310344827587,70.8,GK,1
25,1049,76,10.0,25.06896551724138,70.0,GK,1
27,1190,74,11.0,29.896551724137932,72.8,GK,1
29,1252,73,6.0,32.62068965517241,71.2,GK,1
21,1123,83,31.0,27.896551724137932,70.6,GK,1
29,1009,73,9.0,24.517241379310345,71.4,GK,1
33,1159,72,30.0,29.620689655172413,72.4,GK,1
36,994,72,5.0,22.82758620689655,73.6,GK,1
32,1211,72,5.0,31.344827586206897,70.6,GK,1
25,1010,77,6.0,23.93103448275862,70.0,GK,1
31,1084,72,7.0,26.620689655172413,69.0,GK,1
39,1199,72,3.0,30.82758620689655,71.8,GK,1
30,1192,72,15.0,30.96551724137931,71.2,GK,1
35,1200,72,2.0,31.20689655172414,70.6,GK,1
29,1183,74,16.0,29.586206896551722,70.6,GK,1
34,1226,72,5.0,31.82758620689655,71.0,GK,1
22,1224,82,11.0,32.241379310344826,70.0,GK,1
25,1149,77,8.0,29.620689655172413,71.2,GK,1
21,1030,82,13.0,24.896551724137932,72.6,GK,1
28,1092,72,44.0,27.724137931034484,70.4,GK,1
27,1210,75,26.0,31.17241379310345,71.8,GK,1
29,1234,73,14.0,32.206896551724135,71.2,GK,1
28,1193,73,5.0,30.96551724137931,69.6,GK,1
30,1192,72,10.0,30.0,71.6,GK,1
34,1165,72,3.0,29.413793103448278,69.4,GK,1
32,989,72,1.0,22.724137931034484,71.2,GK,1
23,1078,79,7.0,25.689655172413794,71.4,GK,1
27,1160,74,6.0,29.75862068965517,70.0,GK,1
34,1052,72,23.0,26.482758620689655,68.4,GK,1
36,1249,72,12.0,32.93103448275862,71.0,GK,1
34,1078,72,6.0,26.689655172413794,71.0,GK,1
24,1156,76,10.0,29.862068965517242,69.8,GK,1
21,1138,82,8.0,28.724137931034484,70.6,GK,1
33,1209,72,7.0,31.586206896551722,70.0,GK,1
25,1267,76,8.0,33.3448275862069,72.0,GK,1
30,1127,72,6.0,28.724137931034484,71.0,GK,1
37,1062,72,3.0,26.551724137931036,71.0,GK,1
25,1157,75,8.0,29.275862068965516,71.0,GK,1
34,1201,72,22.0,30.82758620689655,71.8,GK,1
33,1287,72,22.0,34.10344827586207,71.8,GK,1
38,1101,72,28.0,27.620689655172413,69.8,GK,1
32,1044,72,7.0,24.551724137931036,71.6,GK,1
32,1144,72,23.0,28.724137931034484,72.6,GK,1
21,1233,78,7.0,32.172413793103445,70.0,GK,1
25,1157,73,5.0,29.620689655172413,70.2,GK,1
35,1161,71,6.0,29.379310344827587,70.6,GK,1
22,1202,83,17.0,31.17241379310345,70.4,GK,1
30,1215,71,7.0,31.344827586206897,70.8,GK,1
33,1046,71,5.0,25.620689655172413,71.0,GK,1
39,1154,71,4.0,29.82758620689655,69.8,GK,1
23,1145,80,4.0,28.413793103448278,69.8,GK,1
31,1126,71,1.0,28.896551724137932,69.2,GK,1
37,1107,71,14.0,28.275862068965516,68.4,GK,1
36,1124,71,7.0,28.0,71.0,GK,1
34,1176,71,5.0,30.310344827586206,69.8,GK,1
23,1216,81,4.0,31.82758620689655,70.6,GK,1
32,1255,71,6.0,31.79310344827586,72.4,GK,1
23,1029,79,6.0,25.310344827586206,70.4,GK,1
23,1165,79,10.0,30.482758620689655,68.8,GK,1
24,1245,79,10.0,32.827586206896555,70.0,GK,1
28,1169,71,16.0,30.413793103448278,70.0,GK,1
35,1089,71,5.0,27.482758620689655,69.4,GK,1
40,1302,71,4.0,34.13793103448276,70.6,GK,1
23,1120,78,12.0,28.655172413793103,69.6,GK,1
28,1043,71,3.0,26.20689655172414,69.0,GK,1
23,1123,77,9.0,27.75862068965517,69.8,GK,1
23,1122,79,6.0,27.82758620689655,71.4,GK,1
33,1066,71,5.0,26.17241379310345,69.6,GK,1
30,1294,71,10.0,34.03448275862069,71.6,GK,1
27,1186,72,20.0,30.448275862068964,71.0,GK,1
26,1123,75,14.0,28.413793103448278,69.2,GK,1
23,1064,77,5.0,26.17241379310345,69.0,GK,1
38,1124,71,6.0,27.93103448275862,70.0,GK,1
27,1091,72,7.0,27.655172413793103,68.2,GK,1
31,1125,71,4.0,28.96551724137931,70.0,GK,1
29,1141,72,4.0,29.275862068965516,69.6,GK,1
28,1066,71,6.0,25.96551724137931,69.8,GK,1
24,1086,77,4.0,26.75862068965517,69.4,GK,1
32,1169,71,5.0,30.275862068965516,68.6,GK,1
24,1145,77,4.0,29.137931034482758,70.6,GK,1
29,1094,71,27.0,27.344827586206897,70.6,GK,1
30,1268,71,5.0,33.37931034482759,70.2,GK,1
34,1090,71,7.0,27.96551724137931,68.2,GK,1
32,1178,71,8.0,30.20689655172414,69.8,GK,1
26,1005,74,11.0,24.413793103448278,69.8,GK,1
26,1119,73,2.0,28.20689655172414,70.8,GK,1
22,1145,80,17.0,29.17241379310345,70.0,GK,1
21,1059,77,6.0,26.517241379310345,69.6,GK,1
34,1077,71,13.0,26.689655172413794,71.4,GK,1
29,1282,72,8.0,33.724137931034484,71.2,GK,1
32,1132,71,10.0,28.75862068965517,69.8,GK,1
33,1053,71,6.0,26.275862068965516,68.4,GK,1
22,1188,77,15.0,30.724137931034484,71.0,GK,1
24,1187,76,16.0,30.862068965517242,69.4,GK,1
20,1164,82,15.0,30.275862068965516,70.2,GK,1
31,1189,71,10.0,30.896551724137932,71.8,GK,1
23,1244,79,6.0,30.96551724137931,69.8,GK,1
30,1018,71,1.0,25.379310344827587,68.8,GK,1
33,1132,71,13.0,29.344827586206897,69.6,GK,1
23,1121,75,4.0,28.551724137931036,68.6,GK,1
24,1134,77,6.0,29.17241379310345,69.2,GK,1
30,1111,71,7.0,28.20689655172414,69.4,GK,1
39,1247,71,3.0,32.62068965517241,70.4,GK,1
22,1051,82,35.0,26.06896551724138,69.8,GK,1
26,1163,73,17.0,30.103448275862068,69.4,GK,1
33,1122,71,6.0,28.482758620689655,69.4,GK,1
28,1084,72,8.0,27.586206896551722,69.4,GK,1
34,967,71,13.0,23.310344827586206,69.2,GK,1
31,1419,71,3.0,39.206896551724135,68.6,GK,1
27,1127,71,2.0,29.06896551724138,67.8,GK,1
30,1182,71,4.0,30.517241379310345,68.8,GK,1
30,964,71,11.0,23.413793103448278,71.2,GK,1
28,1234,72,11.0,31.275862068965516,71.0,GK,1
32,1163,70,3.0,30.17241379310345,69.4,GK,1
33,1122,70,4.0,28.655172413793103,68.6,GK,1
35,1128,70,2.0,29.03448275862069,68.4,GK,1
29,969,71,4.0,23.724137931034484,67.4,GK,1
28,1059,70,5.0,25.448275862068964,67.8,GK,1
26,1091,72,4.0,27.75862068965517,68.6,GK,1
38,1000,70,3.0,24.724137931034484,67.8,GK,1
30,1092,70,11.0,27.862068965517242,68.8,GK,1
33,1193,70,5.0,31.620689655172413,68.6,GK,1
34,1082,70,9.0,27.620689655172413,67.4,GK,1
24,1096,75,10.0,26.862068965517242,68.6,GK,1
29,1091,70,8.0,27.655172413793103,67.4,GK,1
25,1109,73,6.0,27.379310344827587,70.6,GK,1
24,1196,76,4.0,31.413793103448278,69.0,GK,1
27,1018,71,7.0,25.413793103448278,67.8,GK,1
29,1158,72,4.0,29.79310344827586,68.8,GK,1
35,1181,70,9.0,30.310344827586206,69.6,GK,1
33,1066,70,4.0,26.96551724137931,68.6,GK,1
29,1214,71,6.0,31.620689655172413,68.6,GK,1
25,1239,74,3.0,33.10344827586207,68.4,GK,1
27,1138,73,5.0,29.655172413793103,69.2,GK,1
36,1083,70,2.0,28.0,67.6,GK,1
28,1171,70,9.0,30.137931034482758,69.6,GK,1
28,1121,71,5.0,28.551724137931036,68.8,GK,1
25,1056,74,2.0,26.862068965517242,67.4,GK,1
27,1151,73,8.0,29.724137931034484,67.8,GK,1
25,1209,75,9.0,31.344827586206897,69.8,GK,1
36,1111,70,5.0,27.448275862068964,71.0,GK,1
30,1249,70,14.0,33.206896551724135,68.6,GK,1
39,1188,70,4.0,30.896551724137932,70.2,GK,1
32,1098,70,6.0,27.275862068965516,68.2,GK,1
26,1002,72,1.0,23.448275862068964,70.0,GK,1
30,1159,70,8.0,30.0,69.0,GK,1
23,1192,79,8.0,31.20689655172414,69.6,GK,1
30,1197,70,4.0,31.06896551724138,69.2,GK,1
36,1121,70,6.0,29.137931034482758,67.6,GK,1
22,1111,78,8.0,27.655172413793103,68.6,GK,1
28,1227,72,5.0,32.206896551724135,68.0,GK,1
25,1194,73,8.0,31.17241379310345,69.4,GK,1
27,954,72,6.0,23.20689655172414,67.8,GK,1
31,1020,70,8.0,24.103448275862068,70.6,GK,1
27,1008,71,9.0,25.344827586206897,67.4,GK,1
29,1156,70,7.0,29.517241379310345,69.2,GK,1
32,1072,70,6.0,26.75862068965517,68.2,GK,1
26,909,74,1.0,20.689655172413794,68.6,GK,1
22,1151,78,15.0,29.103448275862068,71.8,GK,1
22,951,79,7.0,22.551724137931036,69.6,GK,1
27,1105,73,7.0,27.344827586206897,69.4,GK,1
37,1131,70,2.0,28.79310344827586,69.2,GK,1
34,980,70,2.0,23.689655172413794,70.2,GK,1
28,1119,71,10.0,28.20689655172414,67.6,GK,1
21,1073,76,3.0,26.75862068965517,69.4,GK,1
30,1021,70,9.0,25.448275862068964,67.2,GK,1
24,1112,76,2.0,28.517241379310345,68.0,GK,1
28,1092,72,1.0,26.551724137931036,71.2,GK,1
22,1223,79,6.0,31.137931034482758,69.4,GK,1
32,1191,70,4.0,31.03448275862069,68.0,GK,1
22,987,80,15.0,23.24137931034483,69.6,GK,1
22,1154,77,14.0,29.689655172413794,67.8,GK,1
22,1145,79,12.0,29.448275862068964,67.6,GK,1
27,1173,74,7.0,30.03448275862069,68.2,GK,1
24,1052,75,15.0,25.413793103448278,68.2,GK,1
26,1110,72,4.0,27.96551724137931,68.2,GK,1
31,1157,69,6.0,29.448275862068964,69.0,GK,1
26,1096,72,2.0,26.79310344827586,68.4,GK,1
32,1437,69,3.0,39.724137931034484,70.0,GK,1
33,1223,69,7.0,31.82758620689655,69.6,GK,1
32,1110,69,6.0,28.551724137931036,67.0,GK,1
30,1089,69,28.0,27.482758620689655,68.2,GK,1
32,1169,69,5.0,30.20689655172414,68.0,GK,1
34,1076,69,8.0,26.862068965517242,69.2,GK,1
31,1051,69,8.0,26.17241379310345,67.4,GK,1
30,1123,69,14.0,28.620689655172413,66.8,GK,1
21,1046,80,2.0,25.689655172413794,69.8,GK,1
34,1195,69,5.0,31.379310344827587,68.4,GK,1
27,1149,69,2.0,30.137931034482758,67.0,GK,1
35,1127,69,2.0,28.96551724137931,68.6,GK,1
30,1067,69,5.0,26.620689655172413,68.2,GK,1
24,1111,77,3.0,27.82758620689655,70.6,GK,1
24,1087,74,3.0,27.586206896551722,68.4,GK,1
25,1164,72,7.0,30.310344827586206,68.2,GK,1
35,951,69,3.0,22.06896551724138,67.4,GK,1
