ID,Age,Nationality,Potential,Club,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Joined,Contract Valid Until,Height,Weight,Release Clause,General,GK
193698,28,Germany,84,TSG 1899 Hoffenheim,42.0,1222,Right,2.0,1.0,1.0,Medium/ Medium,Normal,GK,2014.0,2021.0,74.0,181.0,37300.0,30.103448275862068,80.2
192593,33,Croatia,83,AS Monaco,70.0,1284,Right,3.0,2.0,1.0,Medium/ Medium,Normal,GK,2012.0,2020.0,75.0,185.0,24700.0,32.48275862068966,81.4
179783,29,Germany,84,FC Schalke 04,38.0,1179,Right,2.0,1.0,1.0,Medium/ Medium,Normal,GK,2011.0,2022.0,78.0,216.0,35500.0,29.482758620689655,77.0
178086,31,Spain,83,Atlético Madrid,55.0,1299,Left,2.0,2.0,1.0,Medium/ Medium,Normal,GK,2018.0,2020.0,75.0,203.0,31800.0,32.827586206896555,82.0
178005,30,Portugal,83,Wolverhampton Wanderers,74.0,1352,Left,3.0,2.0,1.0,Medium/ Medium,Normal,GK,2018.0,2022.0,75.0,185.0,31400.0,34.86206896551724,81.4
177683,29,Switzerland,84,Borussia Mönchengladbach,35.0,1299,Right,3.0,4.0,1.0,Medium/ Medium,Normal,GK,2014.0,2021.0,72.0,174.0,35500.0,32.724137931034484,81.4
163705,33,France,83,Olympique de Marseille,51.0,1218,Right,3.0,3.0,1.0,Medium/ Medium,Normal,GK,2017.0,2020.0,73.0,181.0,24700.0,30.413793103448278,80.0
104389,33,Norway,83,Hertha BSC,33.0,1191,Right,2.0,4.0,1.0,Medium/ Medium,Normal,GK,2014.0,2021.0,75.0,181.0,22100.0,28.93103448275862,81.4
24630,35,Spain,83,Milan,56.0,1299,Right,3.0,3.0,1.0,Medium/ Medium,Normal,GK,2018.0,2021.0,74.0,203.0,10200.0,32.89655172413793,81.8
236583,26,Czech Republic,85,SV Werder Bremen,30.0,1060,Right,1.0,3.0,1.0,Medium/ Medium,Lean,GK,2017.0,2021.0,77.0,179.0,34600.0,24.310344827586206,78.8
230621,19,Italy,93,Milan,23.0,1278,Right,3.0,3.0,1.0,Medium/ Medium,Normal,GK,2015.0,2021.0,77.0,198.0,55100.0,32.48275862068966,80.8
230168,30,Brazil,82,Grêmio,32.0,1191,Right,1.0,2.0,1.0,Medium/ Medium,Normal,GK,2018.0,2021.0,75.0,187.0,25200.0,29.551724137931036,80.2
221087,23,Spain,87,Real Betis,21.0,1319,Left,1.0,3.0,1.0,Medium/ Medium,Lean,GK,2018.0,2023.0,74.0,170.0,46800.0,33.62068965517241,81.2
199987,29,Netherlands,84,FC Barcelona,135.0,1292,Right,3.0,3.0,1.0,Medium/ Medium,Normal,GK,2016.0,2021.0,73.0,183.0,38300.0,32.89655172413793,79.8
192984,26,Belgium,85,VfL Wolfsburg,46.0,1250,Left,2.0,2.0,1.0,Medium/ Medium,Normal,GK,2015.0,2021.0,78.0,190.0,34600.0,30.655172413793103,80.2
189117,27,Switzerland,85,Borussia Dortmund,50.0,1245,Right,3.0,2.0,1.0,Medium/ Medium,Normal,GK,2015.0,2021.0,74.0,187.0,32800.0,31.137931034482758,80.0
168435,31,Italy,82,Torino,45.0,1213,Right,3.0,2.0,1.0,Medium/ Medium,Normal,GK,2017.0,2022.0,76.0,176.0,23000.0,30.17241379310345,80.0
168354,32,Italy,82,Sporting CP,15.0,1169,Left,2.0,2.0,1.0,Medium/ Medium,Stocky,GK,2018.0,2020.0,77.0,198.0,25000.0,28.482758620689655,81.4
163489,31,Italy,82,Sassuolo,52.0,1180,Right,2.0,3.0,1.0,Medium/ Medium,Lean,GK,2014.0,2022.0,74.0,181.0,23000.0,29.0,80.4
48940,36,Czech Republic,82,Arsenal,60.0,1166,Left,4.0,3.0,1.0,Medium/ Medium,Normal,GK,2015.0,2019.0,77.0,198.0,5700.0,28.862068965517242,78.4
5479,37,Spain,82,FC Porto,10.0,1308,Left,4.0,2.0,1.0,Medium/ Medium,Normal,GK,2015.0,2019.0,73.0,185.0,3000.0,34.241379310344826,77.0
212151,23,Albania,86,Lazio,36.0,1139,Right,1.0,2.0,1.0,Medium/ Medium,Lean,GK,2012.0,2019.0,76.0,172.0,30200.0,27.689655172413794,79.4
200726,27,France,84,Montpellier HSC,27.0,1114,Left,2.0,3.0,1.0,Medium/ Medium,Normal,GK,2017.0,2021.0,73.0,172.0,31100.0,26.82758620689655,79.8
193105,25,France,85,Paris Saint-Germain,61.0,1266,Right,2.0,3.0,1.0,Medium/ Medium,Normal,GK,2010.0,2019.0,77.0,207.0,31800.0,32.3448275862069,78.4
182494,32,Uruguay,81,Galatasaray SK,52.0,1359,Right,3.0,2.0,1.0,Medium/ Medium,Normal,GK,2011.0,2021.0,75.0,163.0,19000.0,35.06896551724138,79.0
164835,33,Poland,81,West Ham United,70.0,1212,Right,2.0,2.0,1.0,Medium/ Medium,Normal,GK,2018.0,2021.0,75.0,183.0,17100.0,30.310344827586206,79.2
226753,22,Cameroon,85,Ajax,14.0,1369,Right,2.0,3.0,1.0,Medium/ Medium,Stocky,GK,2015.0,2021.0,74.0,205.0,21400.0,35.310344827586206,80.4
215316,26,Argentina,85,Real Sociedad,26.0,1264,Right,3.0,3.0,1.0,Medium/ Medium,Lean,GK,2017.0,2022.0,74.0,185.0,30500.0,32.13793103448276,78.6
214584,31,Argentina,80,River Plate,22.0,1224,Right,1.0,2.0,1.0,Medium/ Medium,Normal,GK,2018.0,2022.0,74.0,194.0,12600.0,30.586206896551722,77.0
209960,26,Spain,83,Deportivo Alavés,23.0,1239,Left,1.0,2.0,1.0,Medium/ Medium,Normal,GK,2015.0,2020.0,73.0,179.0,28300.0,31.448275862068964,77.2
204120,29,Czech Republic,81,Sevilla FC,17.0,1223,Right,1.0,3.0,1.0,Medium/ Medium,Normal,GK,2018.0,2021.0,74.0,187.0,25000.0,30.655172413793103,78.8
203042,25,England,85,Stoke City,39.0,1338,Right,2.0,3.0,1.0,Medium/ Medium,Normal,GK,2013.0,2021.0,77.0,209.0,27700.0,34.689655172413794,78.8
190778,27,Netherlands,83,PSV,16.0,1291,Right,2.0,4.0,1.0,Medium/ Medium,Normal,GK,2009.0,2021.0,74.0,194.0,18400.0,33.0,79.0
189690,31,Spain,80,Crystal Palace,48.0,1361,Right,2.0,3.0,1.0,Medium/ Medium,Normal,GK,2018.0,2021.0,75.0,176.0,17100.0,35.241379310344826,80.2
186569,29,Germany,80,FC Bayern München,61.0,1137,Right,2.0,2.0,1.0,Medium/ Medium,Lean,GK,2015.0,2021.0,76.0,185.0,16500.0,27.448275862068964,77.2
185122,28,Hungary,80,RB Leipzig,45.0,1223,Right,2.0,2.0,1.0,Medium/ Medium,Normal,GK,2015.0,2022.0,76.0,190.0,17900.0,30.137931034482758,78.8
173373,31,Argentina,80,Manchester United,91.0,1251,Right,3.0,3.0,1.0,Medium/ Medium,Normal,GK,2015.0,2021.0,76.0,192.0,16700.0,31.689655172413794,78.8
148119,32,Russia,80,PFC CSKA Moscow,1.0,1208,Right,3.0,3.0,1.0,Medium/ Medium,Normal,GK,2002.0,2022.0,73.0,172.0,18700.0,30.413793103448278,78.6
146748,36,Spain,80,RCD Espanyol,17.0,1188,Right,3.0,3.0,1.0,Medium/ Medium,Lean,GK,2017.0,2020.0,77.0,196.0,4200.0,29.75862068965517,77.4
140293,34,Italy,80,Roma,51.0,1199,Right,2.0,2.0,1.0,Medium/ Medium,Lean,GK,2018.0,2021.0,76.0,174.0,10200.0,30.275862068965516,77.2
110677,34,Spain,80,Real Sociedad,26.0,1187,Right,2.0,2.0,1.0,Medium/ Medium,Normal,GK,2018.0,2020.0,74.0,183.0,12600.0,29.17241379310345,80.2
49031,39,Italy,80,Chievo Verona,10.0,1178,Right,2.0,3.0,1.0,Medium/ Medium,Normal,GK,2016.0,2022.0,73.0,187.0,1700.0,29.448275862068964,78.0
230312,26,Brazil,79,Internacional,24.0,1153,Right,1.0,3.0,1.0,Medium/ Medium,Normal,GK,2018.0,2021.0,73.0,176.0,17100.0,28.655172413793103,77.2
227290,26,Serbia,80,SD Eibar,21.0,1210,Left,1.0,2.0,1.0,Medium/ Medium,Normal,GK,2017.0,2021.0,76.0,198.0,21800.0,30.275862068965516,78.2
225647,29,Uruguay,80,Independiente,21.0,1243,Right,1.0,3.0,1.0,Medium/ Medium,Normal,GK,2017.0,2021.0,73.0,165.0,14800.0,31.103448275862068,78.4
201325,32,Romania,79,FC Nantes,23.0,1228,Right,2.0,3.0,1.0,Medium/ Medium,Lean,GK,2017.0,2019.0,77.0,190.0,13300.0,30.379310344827587,78.4
199005,26,Australia,81,Brighton & Hove Albion,41.0,1341,Right,1.0,4.0,1.0,Medium/ Medium,Normal,GK,2017.0,2022.0,72.0,181.0,20700.0,34.724137931034484,79.6
190243,30,Switzerland,79,Borussia Dortmund,41.0,1183,Right,2.0,3.0,1.0,Medium/ Medium,Normal,GK,2018.0,2021.0,76.0,196.0,13600.0,29.0,76.8
186148,29,Germany,80,VfB Stuttgart,32.0,1163,Right,2.0,3.0,1.0,Medium/ Medium,Normal,GK,2017.0,2020.0,74.0,179.0,17800.0,29.06896551724138,76.2
183497,32,Greece,79,Napoli,48.0,1207,Right,2.0,3.0,1.0,Medium/ Medium,Normal,GK,2018.0,2021.0,75.0,179.0,11900.0,30.310344827586206,77.6
177723,30,Spain,79,Fulham,47.0,1321,Right,1.0,4.0,1.0,Medium/ Medium,Normal,GK,2018.0,2021.0,72.0,176.0,15200.0,34.06896551724138,77.8
177644,31,Spain,79,Real Madrid,105.0,1279,Right,2.0,2.0,1.0,Medium/ Medium,Normal,GK,2015.0,2020.0,75.0,190.0,15400.0,32.6551724137931,78.4
173426,30,Belgium,79,Liverpool,76.0,1254,Right,3.0,2.0,1.0,Medium/ Medium,Normal,GK,2013.0,2021.0,76.0,192.0,15200.0,32.37931034482759,75.2
172723,31,Bosnia Herzegovina,79,Bournemouth,52.0,1234,Right,3.0,2.0,1.0,Medium/ Medium,Lean,GK,2017.0,2020.0,78.0,183.0,14300.0,31.275862068965516,77.6
163264,32,England,79,Burnley,45.0,1266,Right,2.0,3.0,1.0,Medium/ Medium,Normal,GK,2013.0,2020.0,74.0,203.0,13300.0,32.310344827586206,78.2
150724,31,England,79,Burnley,45.0,1260,Right,3.0,3.0,1.0,Medium/ Medium,Normal,GK,2018.0,2020.0,77.0,201.0,14300.0,32.206896551724135,76.8
121933,33,Germany,79,1. FSV Mainz 05,25.0,1155,Right,2.0,3.0,1.0,Medium/ Medium,Normal,GK,2017.0,2019.0,75.0,187.0,11700.0,28.24137931034483,77.0
231691,19,France,90,Fiorentina,12.0,1200,Right,2.0,3.0,1.0,Medium/ Medium,Lean,GK,2018.0,2023.0,76.0,181.0,26600.0,30.20689655172414,76.6
226379,32,Argentina,78,Club Atlético Huracán,15.0,1143,Right,1.0,2.0,1.0,Medium/ Medium,Stocky,GK,2014.0,2018.0,74.0,185.0,9000.0,27.689655172413794,74.6
223952,25,Spain,80,Getafe CF,18.0,1245,Right,1.0,3.0,1.0,Medium/ Medium,Normal,GK,2018.0,2022.0,76.0,187.0,19600.0,31.96551724137931,75.2
220407,29,Slovakia,80,Newcastle United,39.0,1275,Right,1.0,2.0,1.0,Medium/ Medium,Lean,GK,2018.0,2022.0,75.0,176.0,16800.0,32.48275862068966,78.4
213732,24,Russia,82,Spartak Moscow,1.0,1216,Right,1.0,4.0,1.0,Medium/ Medium,Normal,GK,2016.0,2021.0,74.0,187.0,20700.0,30.482758620689655,78.0
209307,27,Brazil,80,Querétaro,10.0,1366,Right,2.0,2.0,1.0,Medium/ Medium,Normal,GK,2014.0,2022.0,73.0,187.0,15100.0,36.48275862068966,75.2
208104,25,Brazil,82,SC Braga,12.0,1198,Right,1.0,3.0,1.0,Medium/ Medium,Normal,GK,2014.0,2023.0,74.0,168.0,19700.0,29.75862068965517,76.2
205659,24,Italy,84,Cagliari,21.0,1150,Right,1.0,3.0,1.0,Medium/ Medium,Lean,GK,2014.0,2022.0,72.0,172.0,20000.0,28.620689655172413,75.8
204240,27,France,80,Toulouse Football Club,24.0,1127,Right,2.0,3.0,1.0,Medium/ Medium,Stocky,GK,2018.0,2022.0,73.0,187.0,17600.0,27.724137931034484,77.0
198513,26,Portugal,82,CD Tondela,6.0,1277,Right,1.0,3.0,1.0,Medium/ Medium,Normal,GK,2012.0,2020.0,72.0,187.0,20700.0,32.58620689655172,75.2
158121,30,France,78,FC Girondins de Bordeaux,32.0,1151,Right,2.0,3.0,1.0,Medium/ Medium,Normal,GK,2017.0,2021.0,74.0,194.0,12400.0,28.310344827586206,77.6
174543,35,Chile,78,Manchester City,50.0,1446,Right,3.0,3.0,1.0,Medium/ Medium,Normal,GK,2016.0,2020.0,72.0,176.0,4500.0,38.51724137931034,78.6
163806,31,Spain,78,RC Celta,19.0,1200,Right,2.0,2.0,1.0,Medium/ Medium,Normal,GK,2009.0,2019.0,70.0,165.0,13700.0,30.06896551724138,77.2
180714,32,Russia,78,Lokomotiv Moscow,1.0,1199,Right,2.0,2.0,1.0,Medium/ Medium,Lean,GK,2007.0,2019.0,77.0,209.0,12600.0,30.310344827586206,77.0
176919,32,Argentina,77,Tigres U.A.N.L.,38.0,1334,Right,3.0,3.0,1.0,Medium/ Medium,Normal,GK,2014.0,2020.0,76.0,207.0,8000.0,35.275862068965516,75.2
135451,37,Brazil,77,Watford,25.0,1249,Right,2.0,2.0,1.0,Medium/ Medium,Lean,GK,2014.0,2019.0,75.0,209.0,1100.0,32.275862068965516,74.4
202789,26,Germany,78,SC Freiburg,19.0,1117,Right,1.0,3.0,1.0,Medium/ Medium,Normal,GK,2012.0,2020.0,74.0,185.0,13100.0,26.689655172413794,75.0
142902,34,Ukraine,77,Shakhtar Donetsk,1.0,1187,Right,2.0,3.0,1.0,Medium/ Medium,Normal,GK,2007.0,2020.0,75.0,198.0,7600.0,29.379310344827587,77.4
227127,23,Spain,83,Athletic Club de Bilbao,15.0,1191,Right,1.0,3.0,1.0,Medium/ Medium,Lean,GK,2013.0,2019.0,75.0,183.0,20700.0,29.75862068965517,76.6
209981,27,Morocco,80,Girona FC,22.0,1164,Left,1.0,3.0,1.0,Medium/ Medium,Lean,GK,2016.0,2019.0,76.0,172.0,16300.0,29.0,76.0
186953,30,Turkey,77,Trabzonspor,24.0,1289,Right,2.0,3.0,1.0,Medium/ Medium,Normal,GK,2008.0,2020.0,74.0,163.0,11000.0,33.241379310344826,75.0
115533,34,Switzerland,77,AS Monaco,44.0,1191,Right,3.0,3.0,1.0,Medium/ Medium,Normal,GK,2017.0,2020.0,76.0,196.0,6800.0,30.655172413793103,73.4
176994,31,France,77,Amiens SC,15.0,1112,Right,1.0,2.0,1.0,Medium/ Medium,Normal,GK,2015.0,2022.0,72.0,181.0,11000.0,27.310344827586206,76.2
188524,29,Turkey,78,Medipol Başakşehir FK,21.0,1230,Right,2.0,2.0,1.0,Medium/ Medium,Normal,GK,2014.0,2021.0,76.0,190.0,13800.0,31.517241379310345,75.6
183666,32,Spain,77,RCD Espanyol,21.0,1284,Right,2.0,2.0,1.0,Medium/ Medium,Normal,GK,2016.0,2019.0,76.0,207.0,10500.0,33.13793103448276,76.0
201095,30,Argentina,77,Club América,43.0,1306,Right,1.0,3.0,1.0,Medium/ Medium,Normal,GK,2017.0,2020.0,74.0,187.0,9400.0,34.10344827586207,76.2
189324,28,England,78,Southampton,37.0,1230,Right,1.0,2.0,1.0,Medium/ Medium,Lean,GK,2016.0,2019.0,76.0,174.0,13800.0,31.551724137931036,75.2
191628,28,Argentina,78,Getafe CF,19.0,1146,Right,1.0,3.0,1.0,Medium/ Medium,Normal,GK,2018.0,2021.0,73.0,181.0,15200.0,28.517241379310345,75.2
139668,35,Italy,77,Genoa,9.0,1234,Left,2.0,3.0,1.0,Medium/ Medium,Normal,GK,2018.0,2020.0,74.0,183.0,3600.0,31.93103448275862,74.4
199575,29,Spain,77,Real Valladolid CF,17.0,1317,Right,1.0,3.0,1.0,Medium/ Medium,Lean,GK,2017.0,2020.0,71.0,168.0,13200.0,34.06896551724138,76.6
187570,35,Brazil,77,Vitória Guimarães,6.0,1211,Right,1.0,2.0,1.0,Medium/ Medium,Normal,GK,2011.0,2019.0,74.0,192.0,4400.0,30.724137931034484,75.2
215223,25,Argentina,81,OGC Nice,23.0,1208,Right,1.0,2.0,1.0,Medium/ Medium,Normal,GK,2016.0,2020.0,75.0,201.0,15800.0,30.620689655172413,76.4
140233,32,Mexico,77,Standard de Liège,13.0,1204,Right,3.0,3.0,1.0,Medium/ Medium,Lean,GK,2017.0,2019.0,73.0,172.0,7500.0,30.413793103448278,75.8
137677,34,Netherlands,77,Tottenham Hotspur,56.0,1279,Right,2.0,3.0,1.0,Medium/ Medium,Normal,GK,2014.0,2019.0,72.0,185.0,6700.0,33.48275862068966,74.2
212442,25,Portugal,82,Olympiacos CFP,1.0,1193,Right,1.0,2.0,1.0,Medium/ Medium,Lean,GK,2016.0,2020.0,76.0,187.0,19300.0,29.275862068965516,75.2
194781,28,Brazil,78,Sporting CP,11.0,1156,Right,1.0,2.0,1.0,Medium/ Medium,Normal,GK,2018.0,2020.0,76.0,192.0,14500.0,28.586206896551722,75.0
190209,31,Sweden,76,MKE Ankaragücü,17.0,1209,Right,1.0,3.0,1.0,Medium/ Medium,Normal,GK,2018.0,2021.0,76.0,207.0,9400.0,30.75862068965517,75.8
146952,34,Spain,76,CD Leganés,21.0,1243,Left,1.0,2.0,1.0,Medium/ Medium,Normal,GK,2017.0,2019.0,74.0,168.0,6500.0,31.724137931034484,75.8
172553,29,Denmark,76,Huddersfield Town,34.0,1095,Right,1.0,2.0,1.0,Medium/ Medium,Lean,GK,2018.0,2021.0,77.0,194.0,9500.0,26.96551724137931,73.8
200212,30,Germany,76,Hannover 96,24.0,1193,Right,1.0,3.0,1.0,Medium/ Medium,Normal,GK,2017.0,2020.0,78.0,214.0,8900.0,30.137931034482758,74.4
211990,24,Greece,83,SL Benfica,7.0,1180,Right,1.0,3.0,1.0,Medium/ Medium,Normal,GK,2018.0,2023.0,74.0,170.0,17600.0,29.586206896551722,73.6
232226,30,Ukraine,76,Dynamo Kyiv,1.0,1215,Right,2.0,3.0,1.0,Medium/ Medium,Lean,GK,2018.0,2023.0,76.0,181.0,10400.0,31.482758620689655,73.2
139062,36,Argentina,76,Chelsea,39.0,1211,Right,2.0,3.0,1.0,Medium/ Medium,Normal,GK,2017.0,2019.0,73.0,179.0,1900.0,30.93103448275862,74.2
14907,40,Argentina,76,Foggia,2.0,1198,Right,2.0,3.0,1.0,Medium/ Medium,Normal,GK,2018.0,2019.0,74.0,196.0,840.0,30.482758620689655,74.8
199493,28,Spain,77,Real Sporting de Gijón,9.0,1243,Right,1.0,3.0,1.0,Medium/ Medium,Lean,GK,2016.0,2022.0,74.0,170.0,10100.0,32.06896551724138,73.8
214110,33,Colombia,76,Once Caldas,3.0,1280,Right,1.0,3.0,1.0,Medium/ Medium,Normal,GK,2013.0,2019.0,71.0,176.0,5300.0,33.06896551724138,75.6
47201,35,Belgium,76,Lazio,20.0,1277,Right,2.0,2.0,1.0,Medium/ Medium,Lean,GK,2018.0,2021.0,72.0,163.0,3100.0,33.06896551724138,75.2
182629,36,Portugal,76,Göztepe SK,12.0,1202,Right,2.0,3.0,1.0,Medium/ Medium,Normal,GK,2017.0,2020.0,72.0,179.0,2100.0,30.79310344827586,75.4
192358,28,Netherlands,78,FC Groningen,8.0,1205,Right,1.0,3.0,1.0,Medium/ Medium,Normal,GK,2014.0,2021.0,78.0,187.0,9900.0,30.79310344827586,73.8
142959,33,Argentina,76,Villarreal CF,22.0,1187,Right,1.0,2.0,1.0,Medium/ Medium,Lean,GK,2015.0,2020.0,74.0,174.0,8200.0,29.82758620689655,75.6
146296,31,Spain,76,Villarreal CF,22.0,1299,Right,1.0,3.0,1.0,Medium/ Medium,Normal,GK,2017.0,2021.0,74.0,181.0,9800.0,33.96551724137931,74.0
200332,25,Czech Republic,79,Stade Rennais FC,21.0,1059,Right,1.0,2.0,1.0,Medium/ Medium,Normal,GK,2017.0,2021.0,78.0,209.0,13800.0,25.448275862068964,75.0
211101,22,Spain,83,RC Celta,14.0,1192,Right,1.0,3.0,1.0,Medium/ Medium,Lean,GK,2012.0,2023.0,74.0,154.0,18400.0,30.06896551724138,75.4
230317,26,Brazil,76,Atlético Paranaense,12.0,1114,Right,1.0,2.0,1.0,Medium/ Medium,Normal,GK,2018.0,2021.0,76.0,198.0,10500.0,27.82758620689655,74.6
230318,30,Brazil,76,Botafogo,17.0,1316,Right,1.0,3.0,1.0,Medium/ Medium,Normal,GK,2018.0,2020.0,75.0,194.0,9400.0,34.44827586206897,76.0
220604,27,Spain,78,Valencia CF,23.0,1325,Right,1.0,3.0,1.0,Medium/ Medium,Normal,GK,2013.0,2022.0,73.0,161.0,13100.0,34.6551724137931,75.2
207557,28,Sweden,76,Roma,41.0,1158,Right,1.0,2.0,1.0,Medium/ Medium,Normal,GK,2018.0,2022.0,77.0,190.0,9400.0,28.482758620689655,75.4
189908,27,Poland,79,Bologna,23.0,1149,Right,2.0,2.0,1.0,Medium/ Medium,Lean,GK,2018.0,2020.0,74.0,185.0,11500.0,29.03448275862069,73.0
199641,26,Belgium,79,RC Strasbourg Alsace,14.0,1182,Right,1.0,3.0,1.0,Medium/ Medium,Normal,GK,2018.0,2022.0,75.0,194.0,13500.0,29.96551724137931,74.6
163301,32,Mexico,76,Santos Laguna,16.0,1409,Right,2.0,3.0,1.0,Medium/ Medium,Normal,GK,2017.0,2018.0,72.0,179.0,7500.0,37.793103448275865,76.4
179954,29,Germany,76,Hertha BSC,21.0,1184,Right,2.0,4.0,1.0,Medium/ Medium,Normal,GK,2011.0,2019.0,74.0,172.0,8500.0,29.93103448275862,72.8
201976,24,Senegal,82,SPAL,9.0,1214,Right,1.0,3.0,1.0,Medium/ Medium,Lean,GK,2018.0,2021.0,76.0,176.0,15000.0,30.96551724137931,74.6
199417,29,Turkey,77,Fenerbahçe SK,44.0,1074,Right,1.0,1.0,1.0,Medium/ Medium,Normal,GK,2018.0,2021.0,74.0,172.0,11900.0,26.310344827586206,74.8
181256,34,Slovakia,75,Viktoria Plzeň,1.0,1172,Right,1.0,2.0,1.0,Medium/ Medium,Normal,GK,2012.0,2021.0,76.0,201.0,5900.0,29.79310344827586,74.2
156433,35,Mexico,75,Deportivo Toluca,11.0,1289,Right,2.0,4.0,1.0,Medium/ Medium,Normal,GK,2009.0,2022.0,74.0,181.0,2700.0,33.758620689655174,74.0
230165,34,Brazil,75,Cruzeiro,20.0,1186,Left,1.0,2.0,1.0,Medium/ Medium,Normal,GK,2018.0,2021.0,74.0,181.0,5100.0,30.06896551724138,74.6
205849,27,Argentina,78,Boca Juniors,16.0,1148,Right,1.0,2.0,1.0,Medium/ Medium,Lean,GK,2018.0,2022.0,76.0,179.0,8100.0,28.482758620689655,73.0
234777,23,United States,84,Columbus Crew SC,5.0,1171,Right,1.0,3.0,1.0,Medium/ Medium,Normal,GK,2016.0,2021.0,75.0,190.0,13600.0,29.137931034482758,74.4
107298,35,France,75,Olympique de Marseille,19.0,1157,Right,1.0,3.0,1.0,Medium/ Medium,Normal,GK,2015.0,2020.0,77.0,196.0,3000.0,29.517241379310345,73.0
