ID,Age,Nationality,Potential,Club,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Joined,Contract Valid Until,Height,Weight,Release Clause,Forward,Mid,Back,General,GK
194765,27,France,90,Atlético Madrid,145.0,2246,Left,4.0,3.0,4.0,High/ High,Lean,CAM,2014.0,2023.0,69.0,161.0,165800.0,86.625,83.75,65.8,78.27586206896552,12.6
189511,29,Spain,89,FC Barcelona,315.0,2065,Right,4.0,3.0,3.0,Medium/ Medium,Lean,CDM,2008.0,2023.0,74.0,168.0,105600.0,73.625,79.75,81.8,72.65517241379311,9.6
179813,31,Uruguay,89,Paris Saint-Germain,200.0,2161,Right,4.0,4.0,3.0,High/ High,Lean,LS,2013.0,2020.0,73.0,170.0,111000.0,83.25,77.875,64.8,75.51724137931035,10.6
153079,30,Argentina,89,Manchester City,300.0,2107,Right,4.0,4.0,4.0,High/ Medium,Stocky,ST,2011.0,2021.0,68.0,154.0,119300.0,86.375,81.125,53.1,73.72413793103448,11.8
138956,33,Italy,89,Juventus,215.0,1841,Left,4.0,3.0,2.0,Medium/ High,Normal,LCB,2005.0,2020.0,74.0,187.0,44600.0,55.875,56.75,78.8,65.86206896551724,3.0
231747,19,France,95,Paris Saint-Germain,100.0,2118,Right,3.0,4.0,5.0,High/ Medium,Lean,RM,2018.0,2022.0,70.0,161.0,166100.0,86.25,83.0,60.4,74.55172413793103,8.4
209331,26,Egypt,89,Liverpool,255.0,2146,Left,3.0,3.0,4.0,High/ Medium,Normal,RM,2017.0,2023.0,69.0,157.0,137300.0,85.125,83.75,64.1,75.0,12.4
200145,26,Brazil,90,Real Madrid,285.0,2170,Right,3.0,3.0,2.0,Medium/ High,Normal,CDM,2013.0,2021.0,73.0,185.0,126400.0,71.625,75.5,82.4,75.41379310344827,13.4
198219,27,Italy,88,Napoli,165.0,2017,Right,3.0,3.0,4.0,High/ Medium,Normal,LW,2010.0,2022.0,64.0,130.0,105400.0,82.625,83.0,54.8,70.86206896551724,9.0
197781,26,Spain,91,Real Madrid,315.0,2137,Right,3.0,3.0,4.0,High/ Medium,Normal,LW,2013.0,2022.0,69.0,174.0,156200.0,80.625,84.125,68.8,74.89655172413794,10.2
190460,26,Denmark,91,Tottenham Hotspur,205.0,2117,Right,3.0,5.0,4.0,High/ Medium,Lean,CAM,2013.0,2020.0,71.0,168.0,141500.0,82.125,85.375,65.8,74.55172413793103,8.6
189242,26,Brazil,89,FC Barcelona,340.0,2175,Right,3.0,4.0,5.0,High/ High,Normal,LW,2018.0,2023.0,68.0,150.0,147700.0,83.0,85.0,66.0,76.27586206896552,9.6
188567,29,Gabon,88,Arsenal,265.0,2069,Right,3.0,4.0,4.0,Medium/ Low,Lean,LM,2018.0,2021.0,74.0,176.0,112100.0,83.375,78.0,58.0,72.65517241379311,9.6
176676,30,Brazil,88,Real Madrid,285.0,2279,Left,4.0,4.0,5.0,High/ Low,Normal,LB,2007.0,2022.0,69.0,176.0,88200.0,82.125,84.25,83.0,80.3103448275862,7.2
173731,28,Wales,88,Real Madrid,355.0,2279,Left,4.0,3.0,4.0,High/ Medium,Lean,ST,2013.0,2022.0,73.0,181.0,123000.0,86.0,83.125,69.9,79.75862068965517,10.4
164240,33,Brazil,88,Paris Saint-Germain,165.0,2077,Right,4.0,3.0,2.0,Medium/ High,Normal,RCB,2012.0,2020.0,72.0,181.0,44400.0,66.375,71.625,81.4,72.86206896551724,9.0
205600,24,France,92,FC Barcelona,205.0,2147,Left,3.0,3.0,2.0,Medium/ High,Normal,CB,2016.0,2023.0,72.0,165.0,121100.0,69.375,70.75,81.7,74.58620689655173,13.2
201399,25,Argentina,90,Inter,130.0,1940,Right,3.0,4.0,3.0,Medium/ Low,Normal,ST,2013.0,2021.0,71.0,165.0,114500.0,80.875,72.5,52.4,68.34482758620689,8.6
201024,27,Senegal,90,Napoli,115.0,1660,Right,3.0,3.0,2.0,High/ High,Normal,LCB,2014.0,2021.0,74.0,196.0,90500.0,51.75,55.0,76.9,58.44827586206897,8.6
195864,25,France,91,Manchester United,210.0,2247,Right,4.0,4.0,5.0,High/ Low,Normal,RDM,2016.0,2021.0,76.0,185.0,123200.0,81.625,83.375,76.0,79.79310344827586,4.0
192387,28,Italy,87,Lazio,115.0,2009,Right,3.0,4.0,3.0,High/ Medium,Normal,ST,2016.0,2023.0,73.0,187.0,88400.0,82.0,74.75,57.5,70.44827586206897,9.4
189332,29,Spain,87,FC Barcelona,250.0,2230,Left,3.0,3.0,3.0,High/ Medium,Normal,LB,2012.0,2020.0,67.0,150.0,77900.0,78.375,79.75,81.0,77.55172413793103,12.0
175943,31,Belgium,87,Napoli,135.0,2043,Right,3.0,4.0,4.0,High/ Low,Normal,RF,2013.0,2020.0,67.0,134.0,76500.0,82.625,82.75,56.8,71.89655172413794,7.8
172871,31,Belgium,87,Tottenham Hotspur,155.0,2079,Left,3.0,3.0,3.0,High/ High,Normal,LCB,2012.0,2019.0,74.0,190.0,62900.0,68.75,71.5,81.3,73.03448275862068,8.8
171877,30,Slovakia,87,Napoli,125.0,2188,Right,3.0,5.0,3.0,High/ Medium,Normal,LCM,2007.0,2020.0,72.0,174.0,79100.0,82.0,83.5,75.4,76.75862068965517,9.2
168651,30,Croatia,87,FC Barcelona,260.0,2184,Right,4.0,3.0,3.0,High/ High,Normal,RCM,2014.0,2021.0,72.0,172.0,95300.0,79.25,82.5,75.1,76.34482758620689,10.2
152729,31,Spain,87,FC Barcelona,240.0,1950,Right,4.0,3.0,2.0,High/ Medium,Normal,RCB,2008.0,2022.0,76.0,187.0,69700.0,66.25,69.0,79.6,68.20689655172414,11.6
222492,22,Germany,92,Manchester City,195.0,2090,Left,2.0,3.0,4.0,High/ Medium,Lean,LW,2016.0,2021.0,72.0,165.0,125100.0,83.25,79.25,58.5,72.96551724137932,10.4
218667,23,Portugal,91,Manchester City,180.0,2039,Left,2.0,3.0,4.0,High/ Medium,Lean,RW,2017.0,2022.0,68.0,141.0,114500.0,79.875,82.5,61.6,71.37931034482759,10.8
208722,26,Senegal,87,Liverpool,195.0,2110,Right,3.0,4.0,4.0,High/ Medium,Lean,LM,2016.0,2023.0,69.0,152.0,102700.0,82.875,80.75,61.0,73.58620689655173,11.2
202652,23,England,89,Manchester City,195.0,2036,Right,3.0,3.0,4.0,High/ Medium,Lean,RW,2015.0,2023.0,67.0,152.0,108800.0,80.625,81.0,61.5,70.6896551724138,12.6
201942,26,Brazil,87,Liverpool,195.0,2187,Right,3.0,4.0,4.0,High/ High,Lean,CAM,2015.0,2023.0,71.0,168.0,104700.0,83.375,83.0,70.2,76.89655172413794,8.8
201535,25,France,91,Real Madrid,210.0,1895,Right,3.0,3.0,2.0,Medium/ High,Lean,RCB,2011.0,2022.0,75.0,179.0,106300.0,62.125,65.875,79.2,66.44827586206897,10.0
199556,25,Italy,89,Paris Saint-Germain,135.0,2149,Right,3.0,4.0,4.0,Medium/ High,Normal,LCM,2012.0,2021.0,65.0,132.0,105900.0,74.25,81.875,79.3,75.10344827586206,12.8
191043,27,Brazil,86,Juventus,160.0,2198,Left,3.0,3.0,3.0,High/ High,Normal,LB,2015.0,2020.0,71.0,176.0,60200.0,75.125,76.875,81.8,77.24137931034483,8.0
190483,27,Brazil,86,Juventus,175.0,2111,Left,3.0,3.0,5.0,High/ Medium,Normal,LM,2018.0,2022.0,68.0,154.0,76700.0,81.25,81.75,61.4,73.82758620689656,10.8
189596,28,Germany,86,FC Bayern München,135.0,2097,Right,4.0,4.0,3.0,High/ High,Lean,CAM,2008.0,2021.0,73.0,165.0,74300.0,81.75,80.625,64.3,73.37931034482759,10.4
189509,27,Spain,86,FC Bayern München,130.0,2190,Right,3.0,3.0,5.0,Medium/ Medium,Normal,CM,2013.0,2021.0,69.0,154.0,75100.0,79.0,83.5,73.0,76.86206896551724,9.2
188350,29,Germany,86,Borussia Dortmund,100.0,2172,Right,4.0,4.0,4.0,High/ Medium,Lean,LM,2012.0,2023.0,71.0,157.0,74000.0,83.875,82.5,61.8,75.6896551724138,12.2
184432,28,Spain,86,Chelsea,175.0,2114,Right,3.0,3.0,2.0,Medium/ Medium,Normal,RB,2012.0,2022.0,70.0,168.0,64800.0,69.125,74.375,83.2,74.10344827586206,8.6
184344,31,Italy,86,Juventus,160.0,1978,Right,3.0,3.0,2.0,Low/ High,Lean,RCB,2018.0,2023.0,75.0,187.0,49500.0,64.5,69.5,79.8,70.72413793103448,2.6
184087,29,Belgium,87,Tottenham Hotspur,150.0,2047,Right,3.0,3.0,2.0,Medium/ Medium,Normal,RCB,2015.0,2020.0,73.0,179.0,75100.0,65.75,70.625,81.2,71.10344827586206,13.2
180206,28,Bosnia Herzegovina,86,Juventus,180.0,2182,Right,3.0,4.0,3.0,Medium/ Medium,Normal,CDM,2016.0,2023.0,70.0,159.0,72600.0,76.0,81.5,76.7,76.75862068965517,8.4
176635,29,Germany,86,Arsenal,190.0,1911,Left,4.0,2.0,4.0,Medium/ Low,Lean,CAM,2013.0,2021.0,71.0,168.0,82700.0,79.0,81.25,50.6,67.0,10.0
135507,33,Brazil,86,Manchester City,185.0,2183,Right,3.0,4.0,3.0,Medium/ High,Lean,CDM,2013.0,2020.0,70.0,148.0,33300.0,75.0,77.875,80.8,76.34482758620689,9.6
41,34,Spain,86,Vissel Kobe,21.0,2058,Right,4.0,4.0,4.0,High/ Medium,Normal,LF,2018.0,2021.0,67.0,150.0,26900.0,78.625,83.5,68.6,72.48275862068965,9.0
232363,23,Slovakia,92,Inter,82.0,1800,Right,1.0,4.0,2.0,Medium/ High,Normal,LCB,2017.0,2022.0,74.0,176.0,88400.0,56.75,61.125,78.1,62.93103448275862,11.0
223848,23,Serbia,90,Lazio,73.0,2206,Right,2.0,4.0,4.0,High/ Medium,Normal,CM,2015.0,2023.0,75.0,168.0,89600.0,80.5,81.875,78.3,77.27586206896552,9.4
220834,22,Spain,92,Real Madrid,215.0,2050,Left,3.0,3.0,4.0,High/ Medium,Normal,RW,2015.0,2023.0,72.0,168.0,121500.0,81.5,81.5,59.8,71.82758620689656,10.0
216594,24,France,89,Olympique Lyonnais,92.0,2102,Left,3.0,3.0,4.0,High/ Medium,Stocky,CAM,2013.0,2020.0,68.0,165.0,98800.0,81.75,80.75,56.8,73.44827586206897,12.2
212622,23,Germany,88,FC Bayern München,92.0,2185,Right,3.0,4.0,3.0,High/ Low,Lean,RCM,2015.0,2023.0,69.0,154.0,69900.0,77.125,80.25,79.3,76.10344827586206,12.0
208421,23,Spain,90,Atlético Madrid,77.0,2196,Left,3.0,4.0,3.0,High/ High,Lean,RCM,2013.0,2026.0,72.0,170.0,107300.0,80.125,81.125,78.6,76.82758620689656,10.2
204485,27,Algeria,85,Manchester City,205.0,2031,Left,3.0,4.0,5.0,Medium/ Medium,Lean,RW,2018.0,2023.0,70.0,148.0,74900.0,80.625,80.75,55.8,71.13793103448276,10.8
197445,26,Austria,87,FC Bayern München,110.0,2261,Left,4.0,4.0,3.0,High/ Medium,Lean,LB,2010.0,2021.0,71.0,168.0,65600.0,77.25,79.375,80.8,78.96551724137932,10.0
193747,26,Spain,86,Atlético Madrid,88.0,2175,Right,3.0,4.0,3.0,High/ High,Normal,LM,2011.0,2019.0,69.0,163.0,95600.0,79.5,83.375,74.2,75.82758620689656,10.8
193301,27,France,86,Arsenal,180.0,2060,Right,3.0,4.0,4.0,High/ High,Normal,ST,2017.0,2022.0,69.0,161.0,88900.0,82.125,77.875,58.4,72.6896551724138,7.4
192774,27,Greece,87,Roma,96.0,1642,Right,3.0,2.0,2.0,Low/ High,Normal,LCB,2014.0,2022.0,74.0,183.0,66600.0,48.625,52.625,76.7,57.6551724137931,9.8
192366,30,Argentina,85,Manchester City,170.0,1916,Right,3.0,3.0,2.0,High/ High,Normal,CB,2015.0,2022.0,72.0,179.0,52700.0,61.625,63.625,76.9,67.17241379310344,9.6
189513,29,Spain,85,Valencia CF,66.0,2119,Right,2.0,4.0,3.0,Medium/ Low,Lean,RCM,2011.0,2020.0,72.0,163.0,77700.0,75.875,80.625,72.8,74.10344827586206,9.6
184941,29,Chile,85,Manchester United,215.0,2172,Right,4.0,3.0,4.0,High/ High,Normal,RW,2018.0,2022.0,67.0,163.0,69400.0,81.625,80.125,61.7,75.72413793103448,12.0
184267,28,Algeria,85,FC Porto,28.0,2030,Right,3.0,3.0,4.0,High/ Medium,Normal,LM,2014.0,2019.0,69.0,146.0,78000.0,79.25,79.75,57.0,71.20689655172414,11.0
183907,29,Germany,85,FC Bayern München,115.0,1948,Right,4.0,4.0,2.0,Medium/ Medium,Stocky,RCB,2011.0,2021.0,76.0,198.0,49500.0,63.375,68.5,79.7,68.51724137931035,9.0
181872,31,Chile,85,FC Barcelona,205.0,2230,Right,4.0,4.0,3.0,Medium/ Medium,Normal,CAM,2018.0,2021.0,71.0,165.0,53300.0,77.5,78.625,81.6,79.13793103448276,3.2
181458,29,Croatia,85,Inter,110.0,2199,Right,3.0,5.0,4.0,Medium/ Medium,Lean,LM,2015.0,2022.0,73.0,176.0,63800.0,82.0,80.75,71.4,77.27586206896552,7.6
180930,32,Bosnia Herzegovina,85,Roma,115.0,1931,Right,3.0,5.0,2.0,Medium/ Medium,Lean,ST,2015.0,2020.0,76.0,185.0,51900.0,80.0,76.0,57.8,67.27586206896552,12.6
179846,31,Germany,85,Juventus,160.0,2154,Right,3.0,4.0,2.0,High/ High,Normal,RCM,2015.0,2021.0,74.0,198.0,54500.0,77.125,79.625,80.2,75.51724137931035,9.6
179844,29,Spain,85,Atlético Madrid,100.0,2003,Right,4.0,4.0,2.0,High/ Medium,Normal,LS,2018.0,2021.0,74.0,190.0,78900.0,79.375,72.75,60.6,70.03448275862068,11.0
178518,30,Belgium,85,Inter,105.0,2278,Right,3.0,3.0,3.0,High/ High,Stocky,CAM,2018.0,2022.0,69.0,170.0,60400.0,79.625,81.5,82.7,79.55172413793103,11.0
171919,35,Brazil,85,FC Schalke 04,38.0,1959,Right,3.0,4.0,2.0,Medium/ Medium,Lean,CB,2016.0,2020.0,78.0,201.0,15300.0,66.5,66.375,77.1,68.37931034482759,12.0
170890,31,France,85,Juventus,145.0,2196,Left,3.0,2.0,2.0,High/ High,Lean,LM,2017.0,2020.0,71.0,165.0,42900.0,75.25,78.0,82.2,76.89655172413794,9.6
168609,33,Brazil,85,Inter,96.0,1879,Right,3.0,3.0,2.0,Medium/ High,Lean,CB,2017.0,2020.0,73.0,172.0,26400.0,61.75,64.125,78.3,65.75862068965517,10.6
165153,30,France,85,Real Madrid,240.0,2000,Right,4.0,4.0,4.0,Medium/ Low,Normal,ST,2009.0,2021.0,73.0,179.0,75900.0,81.375,77.75,53.5,70.27586206896552,8.2
164169,32,Brazil,85,Atlético Madrid,81.0,2145,Left,3.0,3.0,3.0,High/ Medium,Lean,LB,2015.0,2019.0,72.0,163.0,44100.0,73.5,76.625,81.3,75.3103448275862,9.8
139720,32,Belgium,85,Manchester City,170.0,1898,Right,4.0,3.0,2.0,Medium/ High,Normal,CB,2008.0,2019.0,75.0,187.0,40700.0,61.5,63.875,77.6,66.93103448275862,7.6
120533,35,Portugal,85,Beşiktaş JK,57.0,1832,Right,4.0,3.0,2.0,Medium/ High,Lean,RCB,2017.0,2019.0,74.0,179.0,17100.0,59.125,60.25,76.1,64.27586206896552,9.4
220793,22,Colombia,88,Tottenham Hotspur,105.0,1809,Right,2.0,3.0,2.0,Medium/ High,Normal,RCB,2017.0,2024.0,74.0,174.0,65500.0,60.125,63.125,78.0,63.3448275862069,9.4
216460,23,Uruguay,88,Atlético Madrid,63.0,1758,Right,2.0,3.0,2.0,Medium/ High,Normal,RCB,2013.0,2023.0,73.0,176.0,72300.0,52.875,53.0,75.8,61.3448275862069,10.4
212462,25,Brazil,87,FC Porto,22.0,2259,Left,3.0,2.0,3.0,High/ Medium,Lean,LB,2016.0,2021.0,71.0,157.0,66400.0,77.5,80.25,80.7,78.65517241379311,11.6
212218,24,France,88,Manchester City,135.0,1912,Left,2.0,3.0,2.0,Medium/ Medium,Normal,LCB,2018.0,2023.0,74.0,187.0,65500.0,62.875,65.875,78.7,67.03448275862068,9.0
212198,23,Portugal,88,Sporting CP,22.0,2223,Right,2.0,3.0,4.0,High/ Medium,Lean,LCM,2017.0,2023.0,70.0,152.0,84000.0,79.5,82.0,72.2,77.34482758620689,12.6
211300,22,France,90,Manchester United,165.0,2064,Right,3.0,3.0,4.0,Medium/ Medium,Normal,LW,2015.0,2019.0,72.0,168.0,87100.0,81.625,77.625,59.2,72.13793103448276,10.2
211117,22,England,90,Tottenham Hotspur,115.0,2189,Right,3.0,3.0,4.0,High/ High,Lean,LCM,2015.0,2024.0,74.0,176.0,87100.0,81.375,82.5,75.5,77.03448275862068,8.2
209499,24,Brazil,88,Liverpool,120.0,2164,Right,3.0,2.0,3.0,Medium/ Medium,Lean,CDM,2018.0,2023.0,74.0,172.0,67200.0,74.25,77.375,82.3,75.89655172413794,9.4
207865,24,Brazil,89,Paris Saint-Germain,90.0,1879,Right,3.0,3.0,2.0,Medium/ Medium,Lean,LDM,2013.0,2022.0,72.0,165.0,68300.0,60.75,66.25,80.4,65.89655172413794,9.4
207566,26,Portugal,86,Real Betis,38.0,1985,Right,3.0,4.0,3.0,Medium/ Medium,Normal,CDM,2018.0,2023.0,74.0,183.0,68500.0,67.875,75.0,78.3,69.96551724137932,9.0
205498,26,Italy,87,Chelsea,155.0,2136,Right,2.0,3.0,3.0,Medium/ Medium,Lean,CM,2018.0,2023.0,71.0,148.0,73200.0,74.0,80.5,75.7,74.44827586206897,11.2
204970,25,France,87,Olympique de Marseille,72.0,2091,Left,2.0,3.0,4.0,High/ Medium,Normal,RM,2017.0,2021.0,70.0,154.0,77000.0,82.25,80.375,59.7,73.13793103448276,10.4
204963,26,Spain,87,Real Madrid,185.0,2040,Right,3.0,3.0,3.0,High/ High,Stocky,RB,2013.0,2022.0,68.0,161.0,66900.0,67.625,72.125,80.8,70.75862068965517,13.0
202556,24,Netherlands,89,Olympique Lyonnais,93.0,2083,Right,3.0,3.0,5.0,High/ Low,Stocky,ST,2017.0,2021.0,69.0,172.0,83000.0,81.25,79.375,55.6,72.82758620689656,10.0
200104,25,Korea Republic,85,Tottenham Hotspur,125.0,2079,Right,3.0,5.0,4.0,High/ High,Lean,LM,2015.0,2023.0,72.0,143.0,71200.0,83.25,80.125,59.4,72.6896551724138,10.6
198176,26,Netherlands,86,Inter,88.0,1808,Right,3.0,4.0,2.0,Medium/ High,Normal,CB,2018.0,2023.0,74.0,172.0,55900.0,57.625,63.0,77.5,63.37931034482759,10.4
193082,30,Colombia,84,Juventus,150.0,2163,Right,3.0,3.0,5.0,High/ Medium,Lean,RAM,2015.0,2020.0,70.0,159.0,48700.0,79.375,79.5,72.5,76.03448275862068,7.6
192629,30,Spain,84,RC Celta,45.0,2057,Left,2.0,3.0,3.0,High/ High,Lean,ST,2015.0,2022.0,69.0,148.0,63000.0,82.625,78.0,55.2,71.72413793103448,12.4
191202,29,Serbia,84,Manchester United,165.0,2100,Left,3.0,3.0,3.0,Medium/ High,Lean,CDM,2017.0,2020.0,76.0,187.0,44400.0,73.125,75.875,79.6,73.34482758620689,11.4
190584,28,Spain,84,Real Sociedad,51.0,2097,Right,2.0,3.0,4.0,Medium/ High,Normal,RDM,2015.0,2023.0,70.0,165.0,65099.99999999999,74.875,79.625,77.4,73.0,11.8
188377,28,England,84,Manchester City,165.0,2175,Right,3.0,2.0,2.0,High/ High,Normal,RB,2017.0,2022.0,72.0,154.0,45300.0,73.5,74.75,79.9,75.62068965517241,11.4
186942,27,Germany,84,Manchester City,175.0,2138,Right,3.0,4.0,4.0,High/ Medium,Normal,CM,2016.0,2020.0,71.0,176.0,59200.0,77.875,81.5,73.5,75.06896551724138,9.6
185020,31,Spain,84,Napoli,105.0,2045,Right,3.0,3.0,3.0,High/ High,Lean,RM,2013.0,2020.0,70.0,161.0,46800.0,80.875,78.0,60.2,71.55172413793103,9.8
183898,30,Argentina,84,Paris Saint-Germain,125.0,2113,Left,4.0,2.0,5.0,High/ Medium,Lean,RM,2015.0,2021.0,71.0,152.0,54600.0,79.375,80.125,63.2,73.93103448275862,10.2
181783,32,Croatia,84,Juventus,160.0,2106,Right,3.0,3.0,3.0,High/ High,Lean,ST,2015.0,2020.0,75.0,187.0,41300.0,78.625,75.625,71.6,73.79310344827586,9.2
180403,29,Brazil,84,Chelsea,175.0,2052,Right,3.0,4.0,4.0,High/ High,Lean,RW,2013.0,2020.0,69.0,172.0,56400.0,78.625,80.875,63.7,71.44827586206897,11.8
178562,30,Argentina,84,Sevilla FC,31.0,2133,Right,3.0,4.0,4.0,Medium/ Medium,Normal,CDM,2017.0,2020.0,69.0,157.0,60900.0,75.0,80.875,73.5,74.75862068965517,9.0
177413,29,Belgium,84,Borussia Dortmund,77.0,2200,Right,3.0,4.0,4.0,Medium/ Medium,Lean,LCM,2018.0,2022.0,74.0,179.0,40800.0,77.375,79.5,80.9,77.6896551724138,7.2
177388,31,France,84,Olympique de Marseille,75.0,2053,Right,3.0,4.0,4.0,High/ Low,Normal,CAM,2017.0,2021.0,69.0,170.0,52300.0,79.75,80.5,57.7,71.51724137931035,12.2
176769,34,Brazil,84,SL Benfica,25.0,2023,Right,3.0,5.0,3.0,High/ Medium,Lean,ST,2014.0,2020.0,71.0,163.0,33000.0,81.5,78.375,55.1,71.27586206896552,8.6
172879,30,Greece,84,Arsenal,140.0,1797,Right,3.0,2.0,2.0,Medium/ High,Normal,RCB,2018.0,2021.0,73.0,187.0,43700.0,59.0,57.375,74.2,63.55172413793103,7.2
167397,32,Colombia,84,AS Monaco,115.0,2026,Right,3.0,4.0,3.0,High/ Medium,Normal,RS,2013.0,2020.0,70.0,159.0,47500.0,79.0,74.375,57.2,71.37931034482759,8.6
157481,32,Spain,84,Napoli,88.0,1765,Right,3.0,3.0,2.0,Low/ High,Lean,RCB,2013.0,2021.0,75.0,181.0,30600.0,55.125,61.125,76.4,62.206896551724135,7.2
143076,30,Argentina,84,Atalanta,53.0,2049,Right,3.0,4.0,4.0,High/ Medium,Normal,LS,2014.0,2022.0,65.0,150.0,51000.0,79.875,81.125,57.9,71.96551724137932,9.2
20775,34,Portugal,84,Beşiktaş JK,80.0,1988,Right,3.0,4.0,5.0,High/ Low,Normal,RM,2015.0,2020.0,69.0,148.0,29500.0,77.875,78.625,50.3,69.37931034482759,11.2
9014,34,Netherlands,84,FC Bayern München,110.0,2044,Left,4.0,2.0,4.0,High/ Low,Normal,RM,2009.0,2019.0,71.0,176.0,25600.0,82.5,80.125,53.9,71.72413793103448,9.8
231443,21,France,92,FC Barcelona,155.0,1993,Left,3.0,5.0,4.0,High/ Low,Lean,RW,2017.0,2022.0,70.0,148.0,90000.0,80.0,79.0,55.6,69.62068965517241,9.8
230666,21,Brazil,92,Manchester City,130.0,2051,Right,2.0,3.0,4.0,High/ High,Normal,ST,2016.0,2023.0,69.0,161.0,84100.0,82.0,78.0,56.9,71.89655172413794,9.6
230481,26,Brazil,83,Grêmio,51.0,2095,Right,1.0,4.0,4.0,High/ Medium,Normal,RW,2018.0,2021.0,70.0,165.0,50400.0,80.5,80.75,58.3,72.79310344827586,13.0
230375,26,Brazil,83,Grêmio,43.0,1894,Right,1.0,3.0,2.0,Medium/ Medium,Normal,LCB,2018.0,2021.0,73.0,176.0,40500.0,59.0,61.375,77.3,65.37931034482759,13.8
230294,26,Brazil,83,Atlético Mineiro,60.0,1921,Right,1.0,3.0,4.0,High/ Low,Normal,ST,2018.0,2021.0,74.0,183.0,54200.0,77.75,69.125,51.4,66.27586206896552,15.6
225850,22,France,89,Paris Saint-Germain,82.0,1899,Left,2.0,3.0,3.0,High/ High,Normal,LCB,2015.0,2023.0,74.0,176.0,62500.0,60.125,66.375,79.0,66.41379310344827,10.6
220971,23,Guinea,88,Liverpool,120.0,2082,Right,2.0,4.0,4.0,High/ Medium,Lean,CM,2018.0,2023.0,68.0,141.0,67200.0,76.75,80.875,71.2,72.48275862068965,11.8
219683,23,France,88,FC Bayern München,85.0,2207,Right,2.0,3.0,3.0,High/ Medium,Normal,CM,2017.0,2022.0,71.0,179.0,58700.0,77.75,79.5,77.5,76.79310344827586,10.8
213565,22,France,89,Atlético Madrid,64.0,2173,Left,3.0,2.0,4.0,High/ Medium,Lean,LM,2018.0,2023.0,67.0,137.0,79900.0,79.375,80.875,69.7,75.62068965517241,12.0
